Hotel_name,Location,City,Category,Type,Lunch,Dinner,Child with bed,Child without bed,Flower bed,Candle light,Cake,Fruit Basket,Season1(01st April to 30th Sep),Season2(01st Oct to 10th Dec),Season3(10th Dec  to 20th Dec),Season4 (20th Dec to 23rd Dec),Season 5(24th Dec ),Season 6(25th Dec to 30th Dec ),Season 7 (31st Dec ),Season 8(01st Jan to 10th Jan),Season 9(11th Jan to 31st Mar),
T-10 hotel,"Alam Towers, Opposite to Central Bus Stand, 13C, Royals Road, Cantonment, Tiruchirappalli, Tamil Nadu 620001, Phone:0431 241 4493",37,2 Star,Executive Ac Room\Deluxe Ac Room,350\0\0\0\0\0\0\0\0,350\0\0\0\0\0\0\0\0,700\0\0\0\0\0\0\0\0,250\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1900\2500\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,t10-hotel-trichy
SRM ,"Race Course Road, Khajamalai, Tiruchirappalli, Tamil Nadu 620023, Phone:0431 242 1305",37,3 Star,Executive Ac Room\Small Suite Ac Room\Business Class Suite Room ,550\0\0\0\0\0\0\0\0,550\0\0\0\0\0\0\0\0,1000\0\0\0\0\0\0\0\0,350\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2300\3800\4250\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.srmhotels.com
Grand gardenia,"22-25, Mannarpuram Junction, Sangillyandapuram, Tiruchirappalli, Tamil Nadu 620020, Phone:0431 404 5000 ",37,3 Star,Executive Ac Room,500\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,800\0\0\0\0\0\0\0\0,350\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2400\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,grandgardenia.com
Apple valley,"Bliss Villa Road, Anna Salai, Kodaikanal, Tamil Nadu 624101, Phone:04542 243 100",11,2 Star,Deluxe Non Ac Room\Super Deluxe Non Ac Room\Honey Moon Suite,400\0\0\0\0\0\0\0\0,400\0\0\0\0\0\0\0\0,600\0\0\0\0\0\0\0\0,300\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2000\2500\3500\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.hotelapplevalley.com
Hotel Altius,"Edistone Compound,Convent Road, Kodaikanal, Tamil Nadu 624101, Phone:04542 243 412",11,3 Star,Standard Non Ac Room\ Deluxe Non Ac Room\Honey Moon Suite,400\0\0\0\0\0\0\0\0,400\0\0\0\0\0\0\0\0,850\0\0\0\0\0\0\0\0,350\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2300\2650\2900\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.altiusnest.com
Aarem Valley,kodaikanal,11,2 Star,Deluxe Non Ac Room\Super Deluxe Non Ac Room\Honey Moon Suite,300\0\0\0\0\0\0\0\0,300\0\0\0\0\0\0\0\0,600\0\0\0\0\0\0\0\0,300\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1800\2200\3100\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.thepeakresorts.com
Leposhe Resort,"No.25, Sivanadi Road, Kodaikanal, Tamil Nadu 624101, Phone:04542 240 514",11,4 Star,Standard Non Ac Room\Standard Non Ac Room\Premium Non Ac Room\Premium Non Ac Room\Superior Non Ac Room\Superior Non Ac Room,500\500\500\0\0\0\0\0\0,500\500\500\0\0\0\0\0\0,1250\1250\1250\0\0\0\0\0\0,500\500\500\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,3300\4300\3800\4800\4300\5300\0\0\0,0\4300\0\4800\0\5300\0\0\0,0\4300\0\4800\0\5300\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.leposhehotel.com
Pine Borough Inn,"Rifle Range Road, Naidupuram, Kodaikanal, Tamil Nadu 624101, Phone:04542 241 434",11,2 Star,Deluxe Non AC Room\Suite Non Ac Room\Family Non Ac Room ,350\0\0\0\0\0\0\0\0,350\0\0\0\0\0\0\0\0,600\0\0\0\0\0\0\0\0,300\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1800\2200\2800\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.pineboroughinn.com
Quality Inn Sabari,"4/8, Sivanadi Road, Kodaikanal, Tamil Nadu 624101, Phone:04542 243 030",11,4 Star,Executive Non Ac Room\Deluxe Non Ac Room,500\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,1000\0\0\0\0\0\0\0\0,400\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,3400\5000\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,sabarihotels.com/Kodaikanal
JC residency,"Convent Rd, Naidupuram, Kodaikanal, Tamil Nadu 624101, Phone:04542 245 224",11,3 Star,Super Deluxe Non Ac Room\Royal Suite Non Ac Room ,450\0\0\0\0\0\0\0\0,450\0\0\0\0\0\0\0\0,750\0\0\0\0\0\0\0\0,350\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2500\4500\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.jcresidency.com
High Land Inn hotel,"4/278, Kotagiri Road, Doddabetta Junction, Ooty, Tamil Nadu 643001, Phone:0423 245 0021",19,4 Star,Deluxe Non AC Room\Suite Non Ac Room,500\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,1000\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,4000\6000\0\0\0\0\0\0\0,4000\6000\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.highland-hotels.com
Gem park hotel,"Sheddon Road, Opp Mountain View Hotel, Pudumund, Ooty, Tamil Nadu 643001, Phone:0423 244 2955",19,4 Star,Deluxe Non Ac Room \luxury Suite Non Ac Room,500\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,1200\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,4500\9500\0\0\0\0\0\0\0,4500\9500\0\0\0\0\0\0\0,4500\9500\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.gemparkooty.com
Fortune Sullivan court,"123, Selbourne Road, Ooty, Tamil Nadu 643001,Phone:0423 244 1415",19,4 Star,Standard Non Ac Room\Fortune Club,500\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,1000\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,5500\6000\\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.emarald.in
Tulips Ehk hill resort,"Ramakrishna Mutt Road, R. K. Puram, Elk Hill, Ooty, Tamil Nadu 643004, Phone:0423 245 2635",19,2 Star,Deluxe Cottage\Two Bedroom Cottage\Three Bed Room Cottage,350\0\0\0\0\0\0\0\0,350\0\0\0\0\0\0\0\0,700\0\0\0\0\0\0\0\0,300\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2000\4500\6000\0\0\0\0\0\0,2000\4500\6000\0\0\0\0\0\0,2000\4500\6000\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.tulipselkhillresort.com
Meadows Residency,"Charing Cross, Coonoor Road, Near SM Hospital, Ooty, Tamil Nadu 643001, Phone:0423 222 4444",19,3 Star,Pearl Non Ac Room\Platinum Non Ac Room\Diamond Non Ac Room ,500\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,800\0\0\0\0\0\0\0\0,400\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,3400\4100\5100\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.meadowsresidency.com
Lake view Ooty,"West Lake Road, Near The Ooty Lake, Ooty, Tamil Nadu 643004, Phone:0423 244 0978",19,2 Star,Deluxe Non AC Room\Suite Non Ac Room\Executive Suite Non Ac,500\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,700\0\0\0\0\0\0\0\0,300\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2200\2300\2500\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.hotellakeview.com
Hotel Subam,"7, North Giri Street, Adivaram, Palani, Tamil Nadu 624601, Phone:04545 242 672",21,2 Star,Standard Ac Room\Family Ac Room ,350\0\0\0\0\0\0\0\0,350\0\0\0\0\0\0\0\0,600\0\0\0\0\0\0\0\0,300\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2300\4000\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.hotelsubam.com
arpana hotel,"No. 7, Polur Road, Sriram Nagar, Tiruvannamalai, Tamil Nadu 606601, Phone:04175 254 755",33,3 Star,Superior Ac Room \Executive Ac Room\Junior Suite Ac Room ,450\0\0\0\0\0\0\0\0,450\0\0\0\0\0\0\0\0,750\0\0\0\0\0\0\0\0,350\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,3100\4000\5300\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.arpanaahotels.com
Aakash Inn ,"No. 79/1 Chengam Road, Near Ramana Ashramam, National Highway 66, Tiruvannamalai, Tamil Nadu 606603, Phone:04175 235 300",33,2 Star,Superior Ac Room \Deluxe Ac Room\Suite Ac Room,350\0\0\0\0\0\0\0\0,350\0\0\0\0\0\0\0\0,650\0\0\0\0\0\0\0\0,350\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1850\2400\4500\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.aakashhotels.com
Sri Sarvesha JS palace ," No.7, Ammani Amman Gopuramstreet, Thiruvannalamai, Tamil Nadu 606601, Phone:098432 98808",33,2 Star,Studio Ac Room\Luxury Ac Room\Suite Ac Room ,400\0\0\0\0\0\0\0\0,400\0\0\0\0\0\0\0\0,600\0\0\0\0\0\0\0\0,350\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2800\3100\3800\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,srisarveshapalace.com
sakthi residency,"71, Nellukkara Street, Kanchipuram, Tamil Nadu 631502, Phone:044 2723 3799",9,2 Star,Standard Ac Room\Deluxe Ac Room ,350\0\0\0\0\0\0\0\0,350\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,250\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2400\2800\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.sreesakthiresidency.com
GRT Residency,"487, Gandhi Road, Kanchipuram, Tamil Nadu 631502, Phone:044 2722 5250",9,3 Star,Superior Ac Room ,750\0\0\0\0\0\0\0\0,750\0\0\0\0\0\0\0\0,950\0\0\0\0\0\0\0\0,450\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,3750\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.grthotels.com/kanchipuram
GRT Sameera regency,"145, Green Circle, New By-Pass Road, Vellore, Tamil Nadu 632004, Phone:0416 220 6466",9,3 Star,Superior Ac Room\Deluxe Ac Room ,850\0\0\0\0\0\0\0\0,850\0\0\0\0\0\0\0\0,1250\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,4250\4950\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.grthotels.com/vellore
Poppys hotel,"opp.New bus stand,New katpadi Road, Vellore-632004, Phone:0416 266 6666",39,2 Star,Super Deluxe Ac Room\Anukula Suite Ac Room ,400\0\0\0\0\0\0\0\0,400\0\0\0\0\0\0\0\0,750\0\0\0\0\0\0\0\0,350\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,3050\3850\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.poppyshotel.com
Hotel River view," New Katpadi Road, Kilithampatarai, Katpadi, NH234, Pune, Tamil Nadu 632064, Phone:0416 222 2349",39,2 Star,Deluxe Ac Room\Premium Ac Room ,350\0\0\0\0\0\0\0\0,350\0\0\0\0\0\0\0\0,700\0\0\0\0\0\0\0\0,300\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2000\2400\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.hotelriverview.org
Lakshmi Hotel ,"44P, 45P VOC Nagar Marys corner Trichy Main Road, Thanjavur, Tamil Nadu 613007, Phone:04362 278 161",28,2 Star,Superior Ac Room\Suite Ac Room ,400\0\0\0\0\0\0\0\0,400\0\0\0\0\0\0\0\0,800\0\0\0\0\0\0\0\0,350\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2300\3500\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.lakshmihotel.in
Star residency,"20/1 A, SM Road, Thanjavur, Tamil Nadu 613007, Phone:089259 39608",28,2 Star,Execiteive Ac Room\Suite Ac Room ,350\0\0\0\0\0\0\0\0,350\0\0\0\0\0\0\0\0,700\0\0\0\0\0\0\0\0,350\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2800\4000\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.starresidencyhotels.com
Ideal river view resort,"Vennar Bank, Pali Agraharam, Thanjavur, Tamil Nadu 613003, Phone:04362 250 533",28,3 Star,River Facing Ac Room ,900\0\0\0\0\0\0\0\0,900\0\0\0\0\0\0\0\0,1800\0\0\0\0\0\0\0\0,650\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,5750\\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.idealresort.com
MGM Velankanni residency,"64/F2, Nagapattinam Main Road, Vailankanni, Tamil Nadu 611111, Phone:04365 263 900",38,3 Star,Deluxe Ac Room\Deluxe Ac Room\Grandeur Ac Room\Grandeur Ac Room\Cottage\Cottage,500\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,600\0\0\0\0\0\0\0\0,350\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,3250\4250\3750\4750\5000\6000\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,mgm-velankanni.onetime.com
Cliton Park Inn,"Church Main Road,, Velankanni, Tamil Nadu 611111, Phone:097506 11111",38,3 Star,Deluxe Ac Room\Deluxe Ac Room\Deluxe Chruch View Ac Room\Deluxe Chruch View Ac Room\Family Ac Room\Family Ac Room,400\0\0\0\0\0\0\0\0,400\0\0\0\0\0\0\0\0,900\0\0\0\0\0\0\0\0,400\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,3200\4200\3500\4500\5800\6800\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.clintonparkinn.com
VPN Residency,"Main Road, Near Maha Kulam Stop, Velankanni, Tamil Nadu 611111, Phone:04365 264 600",38,2 Star,Standard One Beded Ac Room\Standard One Beded Ac Room\Two Beded Ac Room\Two Beded Ac Room\Granduer Ac Room \Granduer Ac Room ,300\0\0\0\0\0\0\0\0,300\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,250\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1600\2200\1990\2550\2950\3850\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.vpnresidency.com
The Grand park,"59, East Car Street, Near Natarajar Temple, Chidambaram, Tamil Nadu 608001, Phone:04144 225 859",3,2 Star,Standard Ac Room\Deluxe Ac Room\Superior Ac Room ,300\0\0\0\0\0\0\0\0,300\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,250\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1600\2000\2600\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.thegrandpark.in
saradharam hotel,"19, V.G.P.Street, Cuddalore District, Chidambaram, Tamil Nadu 608001, Phone:04144 221 336",3,2 Star,Standar Ac Room\Suite Ac Room\Executive Ac Room ,350\0\0\0\0\0\0\0\0,350\0\0\0\0\0\0\0\0,600\0\0\0\0\0\0\0\0,300\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2100\2900\3400\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.hotelsaradharam.co.in
